,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0010039,2.14E-119,0.492672191,0.908,0.852,4.27E-116,GstD3
FBgn0039969,2.40E-118,0.409951856,0.924,0.875,4.80E-115,Fis1
FBgn0034221,2.75E-118,-0.584755367,0.877,0.818,5.49E-115,CG10764
FBgn0037536,9.71E-117,0.369581563,0.823,0.729,1.94E-113,CG2698
FBgn0038320,1.59E-116,0.375131841,0.873,0.797,3.17E-113,Sra-1
FBgn0270926,1.35E-115,-0.402924099,0.683,0.715,2.69E-112,AsnS
FBgn0035868,9.15E-115,-0.368335516,0.637,0.69,1.83E-111,CG7194
FBgn0010173,2.52E-112,-0.447517808,0.729,0.754,5.05E-109,RpA-70
FBgn0031069,3.18E-112,-0.483843659,0.764,0.832,6.35E-109,Pmp70
FBgn0039886,5.88E-111,-0.449212608,0.719,0.71,1.18E-107,CG2003
FBgn0034245,1.08E-110,-0.55131782,0.924,0.911,2.16E-107,UQCR-6.4
FBgn0010379,1.36E-110,0.371748273,0.783,0.723,2.73E-107,Akt1
FBgn0036043,1.27E-109,0.429618584,0.895,0.834,2.54E-106,CG8177
FBgn0041180,1.36E-109,0.395302583,0.954,0.916,2.72E-106,Tep4
FBgn0031663,9.62E-109,-0.417881951,0.696,0.704,1.92E-105,CG8891
FBgn0037989,9.60E-106,-0.460389703,0.594,0.643,1.92E-102,ATP8B
FBgn0029937,5.03E-105,0.364892543,0.869,0.818,1.01E-101,CG8300
FBgn0031055,6.33E-100,-0.39051675,0.639,0.774,1.27E-96,et
FBgn0030943,2.58E-98,-0.402493697,0.695,0.705,5.16E-95,CG6540
FBgn0000261,3.05E-98,-0.506144263,0.782,0.801,6.11E-95,Cat
FBgn0036147,1.31E-97,-0.601283636,0.932,0.946,2.62E-94,Plod
FBgn0034142,1.00E-96,-0.363499365,0.796,0.808,2.00E-93,CG8306
FBgn0020513,7.21E-93,-0.484279115,0.714,0.751,1.44E-89,ade5
FBgn0021979,2.15E-91,-0.407298287,0.697,0.795,4.29E-88,l(2)k09913
FBgn0040064,4.76E-90,-0.494357117,0.797,0.859,9.52E-87,yip2
FBgn0019661,6.56E-89,-0.742179236,0.892,0.911,1.31E-85,roX1
FBgn0036144,3.70E-87,-0.467429146,0.845,0.848,7.40E-84,GlcAT-P
FBgn0012037,3.77E-83,-0.479924615,0.905,0.928,7.53E-80,Ance
FBgn0052267,8.96E-80,-0.37371134,0.658,0.727,1.79E-76,CG32267
FBgn0014865,1.51E-73,-0.422011701,0.809,0.856,3.02E-70,Mtk
FBgn0027280,1.80E-73,-0.365557979,0.69,0.812,3.60E-70,l(1)G0193
FBgn0010113,2.42E-72,-0.433705137,0.884,0.88,4.83E-69,hdc
FBgn0085468,1.38E-57,-0.428002707,0.868,0.9,2.76E-54,ND-MWFE
FBgn0043841,1.95E-54,-0.446749603,0.917,0.912,3.89E-51,vir-1
FBgn0015031,2.84E-54,-0.446304621,0.959,0.956,5.69E-51,cype
FBgn0045852,2.03E-53,-0.392085585,0.725,0.788,4.05E-50,ham
FBgn0051523,5.99E-40,-0.362585685,0.799,0.84,1.20E-36,CG31523
FBgn0265140,1.80E-29,-0.369578108,0.971,0.968,3.61E-26,Meltrin
FBgn0283437,2.57E-28,-0.443681621,0.951,0.903,5.15E-25,PPO1
FBgn0042106,5.31E-25,-0.428485755,0.87,0.867,1.06E-21,CG18754
