# Program:featureCounts v1.6.2; Command:"/scratch/Arun/Projects/example/subread-1.6.2-source/bin/featureCounts" "-t" "gene" "-a" "/scratch/Arun/Reference/Drosophila_melanogaster/Flybase/dmel-all-r6.28.gtf" "-Q" "10" "-o" "gene_count_mq10.txt" "-T" "15" "FatBody_Control_oil_16.out.bam" "FatBody_Control_oil_17.out.bam" "FatBody_Control_oil_22.out.bam" "FatBody_Control_oil_8.out.bam" "FatBody_Oil_oil_18.out.bam" "FatBody_Oil_oil_19.out.bam" "FatBody_Oil_oil_23.out.bam" "FatBody_Oil_oil_9.out.bam" "FatBody_WaspExtract_oil_20.out.bam" "FatBody_WaspExtract_oil_21.out.bam" "FatBody_WaspExtract_oil_24.out.bam" "FatBody_WaspExtract_oil_4.out.bam" "Hemocytes_Control_oil_10.out.bam" "Hemocytes_Control_oil_13.out.bam" "Hemocytes_Control_oil_1.out.bam" "Hemocytes_Control_oil_5.out.bam" "Hemocytes_Oil_oil_11.out.bam" "Hemocytes_Oil_oil_14.out.bam" "Hemocytes_Oil_oil_2.out.bam" "Hemocytes_Oil_oil_6.out.bam" "Hemocytes_WaspExtract_oil_12.out.bam" "Hemocytes_WaspExtract_oil_15.out.bam" "Hemocytes_WaspExtract_oil_3.out.bam" "Hemocytes_WaspExtract_oil_7.out.bam" 
Geneid	Chr	Start	End	Strand	Length	FatBody_Control_oil_16.out.bam	FatBody_Control_oil_17.out.bam	FatBody_Control_oil_22.out.bam	FatBody_Control_oil_8.out.bam	FatBody_Oil_oil_18.out.bam	FatBody_Oil_oil_19.out.bam	FatBody_Oil_oil_23.out.bam	FatBody_Oil_oil_9.out.bam	FatBody_WaspExtract_oil_20.out.bam	FatBody_WaspExtract_oil_21.out.bam	FatBody_WaspExtract_oil_24.out.bam	FatBody_WaspExtract_oil_4.out.bam	Hemocytes_Control_oil_10.out.bam	Hemocytes_Control_oil_13.out.bam	Hemocytes_Control_oil_1.out.bam	Hemocytes_Control_oil_5.out.bam	Hemocytes_Oil_oil_11.out.bam	Hemocytes_Oil_oil_14.out.bam	Hemocytes_Oil_oil_2.out.bam	Hemocytes_Oil_oil_6.out.bam	Hemocytes_WaspExtract_oil_12.out.bam	Hemocytes_WaspExtract_oil_15.out.bam	Hemocytes_WaspExtract_oil_3.out.bam	Hemocytes_WaspExtract_oil_7.out.bam
FBgn0029522	X	476984	478191	+	1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052817	X	479066	480166	+	1101	1	0	0	0	0	0	1	0	1	0	0	3	4	1	1	0	5	2	2	2	1	0	1	0
FBgn0029524	X	481862	482768	+	907	6	0	14	2	4	1	8	2	3	9	13	13	26	4	0	4	25	8	6	6	9	13	17	13
FBgn0023536	X	487878	490725	+	2848	202	45	214	124	115	148	208	150	123	163	223	388	350	31	121	147	305	147	219	211	149	119	266	235
FBgn0023534	X	494614	496369	+	1756	1	0	2	0	0	3	2	2	1	5	3	6	6	1	2	5	9	3	11	5	1	1	3	4
FBgn0023535	X	509435	528028	+	18594	900	278	907	520	580	1123	1269	836	563	867	1300	1468	1156	24	554	140	311	94	228	391	34	56	69	46
FBgn0023537	X	490787	493495	-	2709	4784	1405	4601	1882	2678	5117	5506	3671	2796	3595	4901	5169	10020	903	3310	3630	8283	3032	5374	3559	1406	1114	2419	1823
FBgn0029525	X	482777	487581	-	4805	313	82	325	187	233	348	422	393	138	239	332	633	813	63	304	511	921	383	562	495	207	160	340	297
FBgn0029523	X	476857	479309	-	2453	6	1	4	2	1	3	3	2	7	6	4	3	9	2	2	10	16	7	15	13	4	1	2	9
FBgn0010019	X	467057	469335	-	2279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0011822	X	436139	437448	-	1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052816	X	316576	470726	-	154151	2	1	8	2	2	3	7	2	0	7	1	8	5	1	1	5	5	2	2	7	1	1	0	2
FBgn0040370	X	283186	294962	-	11777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040373	X	243954	245856	-	1903	22	10	45	9	13	7	27	15	9	17	22	48	210	19	66	114	235	84	168	98	35	25	95	71
FBgn0000108	X	530501	579044	+	48544	22	4	28	10	21	12	24	9	4	28	24	41	87	5	25	19	43	26	26	27	6	1	9	9
FBgn0025640	X	623468	624765	+	1298	308	63	259	238	152	263	312	289	163	207	347	480	1185	173	420	444	1217	531	896	489	416	426	602	547
FBgn0025635	X	625542	628016	+	2475	94	40	140	49	71	141	126	96	61	113	127	192	279	23	94	136	325	132	209	146	91	75	127	137
FBgn0001341	X	629773	633633	+	3861	316	104	435	247	286	388	509	440	177	328	370	871	1161	63	398	803	1345	534	876	632	233	199	424	371
FBgn0003575	X	635890	643760	+	7871	246	77	407	161	153	323	299	198	194	281	464	380	824	59	289	518	1180	509	665	539	415	316	630	649
FBgn0025634	X	644761	646386	+	1626	112	31	168	44	77	130	134	68	52	85	135	166	376	34	131	189	497	204	274	187	115	115	197	184
FBgn0025638	X	647304	648597	+	1294	856	279	1061	469	500	990	1083	736	563	807	1251	1391	2871	401	1038	988	2612	1069	1805	1144	844	695	1405	1261
FBgn0040383	X	750347	758719	+	8373	999	175	728	683	352	693	722	667	379	703	905	1416	1155	206	507	368	866	336	537	513	134	106	157	100
FBgn0040382	X	759594	761939	+	2346	117	43	236	57	65	114	123	93	60	135	155	182	533	50	164	340	811	271	456	299	108	67	110	115
FBgn0027343	X	769945	784222	+	14278	14	5	48	5	8	10	15	9	14	28	31	34	53	13	30	50	79	45	96	40	12	8	28	26
FBgn0025621	X	793147	797061	+	3915	450	111	582	264	284	502	528	642	271	457	650	880	1100	80	384	431	1144	537	635	668	677	527	876	810
FBgn0029535	X	844823	845297	+	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026874	X	803424	804921	-	1498	1	0	2	0	2	1	3	0	0	1	2	1	6	0	5	15	25	14	7	10	1	1	2	3
FBgn0025616	X	801669	803470	-	1802	4	3	51	0	3	7	15	2	8	18	17	30	3	3	3	3	14	4	1	12	0	2	6	1
FBgn0015799	X	797090	801479	-	4390	411	96	607	309	299	429	562	446	265	468	641	934	1955	131	647	1314	3100	1341	1640	1197	1132	887	1583	1588
FBgn0025620	X	787855	790089	-	2235	11455	4622	18456	6252	11319	14972	20391	11981	11794	16258	23308	20871	14125	177	6362	3286	3767	488	1924	6577	217	671	501	432
FBgn0015288	X	762560	765130	-	2571	7629	1599	6014	5742	3829	7449	7737	8545	4281	5395	9326	10762	21939	2235	10509	10301	24121	9950	16742	9287	5815	4729	8577	6602
FBgn0029532	X	752011	753653	-	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029531	X	749241	751301	-	2061	0	0	7	0	0	0	0	1	0	0	1	1	2	0	1	0	1	1	0	2	2	0	0	0
FBgn0025639	X	648483	656033	-	7551	366	149	688	129	313	380	386	327	332	518	685	703	1234	80	392	909	2015	849	1100	980	533	375	728	802
FBgn0002579	X	628338	629483	-	1146	8520	2696	10053	5966	5656	11464	12107	9369	5615	8228	12384	14239	35028	5555	12676	11702	25892	10915	20868	12651	8121	8805	13740	11617
FBgn0026879	X	624757	625203	-	447	517	165	587	386	300	596	753	598	309	457	642	837	1854	351	816	728	1846	705	1611	858	751	637	1252	1166
FBgn0029529	X	620717	621215	-	499	84	19	76	61	30	56	71	45	31	54	74	114	341	71	96	106	252	126	194	123	61	72	145	109
FBgn0025633	X	585081	620195	-	35115	151	59	225	76	105	159	178	126	127	221	263	249	694	82	218	462	1161	500	597	510	291	225	446	436
FBgn0040892	X	862608	863200	+	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040341	X	875732	876612	+	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029539	X	894482	895200	+	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040339	X	928139	928860	+	722	58	11	103	30	30	64	67	78	31	58	91	122	317	33	109	120	301	110	187	117	71	68	153	88
FBgn0052815	X	932466	939424	+	6959	17	4	23	5	3	8	21	13	13	12	32	24	28	5	5	19	17	8	15	15	3	5	3	7
FBgn0040340	X	935232	937822	+	2591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040347	X	941075	943229	+	2155	15	4	20	8	12	9	21	7	11	17	19	22	65	3	5	30	77	27	36	28	10	9	20	19
FBgn0042146	X	990518	991184	+	667	8	3	29	2	4	0	18	11	2	15	15	43	0	2	0	0	0	0	0	5	0	0	5	1
FBgn0029552	X	1012035	1012624	+	590	2	0	10	0	2	3	4	1	1	4	2	6	0	0	0	0	0	0	0	1	0	0	2	0
FBgn0040337	X	1026791	1028290	+	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040398	X	1051525	1052631	+	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040365	X	1145644	1146132	+	489	34	5	60	4	7	8	42	18	9	39	45	80	4	6	0	2	4	2	0	14	0	0	12	2
FBgn0040397	X	1073041	1134896	-	61856	6	3	17	3	6	8	7	6	11	19	21	15	77	42	21	61	115	68	40	287	50	13	35	60
FBgn0026143	X	1028291	1030556	-	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040351	X	1013984	1026703	-	12720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040338	X	1011101	1011643	-	543	14	1	37	4	9	1	6	9	15	19	24	58	7	4	2	1	1	0	0	9	0	0	2	1
FBgn0040350	X	948585	951900	-	3316	2	0	7	5	1	26	0	19	17	17	0	0	2	135	0	0	51	16	12	13	0	0	49	0
FBgn0040349	X	946662	947500	-	839	185	42	153	178	151	221	202	197	81	164	188	198	376	382	165	63	166	124	97	579	40	12	81	11
FBgn0040348	X	942474	945773	-	3300	1	1	10	3	5	3	8	1	2	1	3	3	18	0	1	14	30	7	21	12	8	8	8	8
FBgn0040346	X	939170	940805	-	1636	133	45	139	84	92	157	161	160	71	94	144	248	679	55	226	334	806	291	509	271	178	155	275	229
FBgn0040342	X	930931	932475	-	1545	1	0	2	4	1	0	1	0	0	0	2	1	59	0	2	5	10	26	1	36	2	1	3	2
FBgn0040345	X	928798	930098	-	1301	2	3	22	1	2	13	9	2	3	3	12	9	9	2	0	3	5	1	1	3	0	0	2	1
FBgn0040343	X	846171	847157	-	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052814	X	1019795	1026700	-	6906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040364	X	1170828	1173797	+	2970	48	10	96	36	52	49	73	49	21	97	70	105	178	28	99	50	49	364	37	745	20	7	15	13
FBgn0040362	X	1180165	1181551	+	1387	7	3	37	2	4	4	11	11	7	15	17	23	1	5	0	0	1	1	2	3	0	0	5	0
FBgn0040361	X	1181620	1183502	+	1883	7	0	4	2	4	2	1	1	8	1	4	1	0	0	0	2	3	0	2	0	2	0	0	1
FBgn0040360	X	1184778	1188585	+	3808	1	1	1	0	0	2	0	0	4	0	11	4	4	0	2	0	4	3	2	6	1	0	1	2
FBgn0040359	X	1191308	1196660	+	5353	0	0	0	0	2	0	0	1	6	9	10	0	2	0	0	1	4	3	2	0	0	2	0	0
FBgn0040358	X	1199546	1203157	+	3612	0	0	1	0	2	0	0	3	6	0	4	1	1	0	0	0	2	2	1	0	0	1	0	1
FBgn0029568	X	1203777	1205433	+	1657	0	0	0	1	2	0	0	0	2	2	3	0	1	0	1	0	1	0	0	0	0	0	0	0
FBgn0040357	X	1206737	1207555	+	819	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040367	X	1209970	1211853	+	1884	2	5	1	3	3	4	5	5	8	3	12	6	6	0	0	0	3	6	5	3	0	0	1	2
FBgn0025642	X	1287290	1288945	+	1656	2	7	85	0	17	18	188	0	27	108	64	8	6	1	19	5	17	6	2	10	6	11	12	13
FBgn0004650	X	1322513	1329438	+	6926	6	10	65	81	14	3	58	6	25	66	95	18	13	1	3	3	8	22	3	22	8	9	13	11
FBgn0024362	X	1342106	1344770	+	2665	455	131	619	237	336	565	514	404	313	443	636	761	1270	82	399	588	1717	769	970	724	882	787	1287	1361
FBgn0024361	X	1346553	1348143	+	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0024364	X	1354014	1356473	+	2460	311	76	368	215	259	339	488	385	195	288	307	602	992	176	378	564	1092	410	687	477	232	178	361	329
FBgn0029573	X	1369249	1370176	+	928	3	2	2	0	2	2	1	1	2	3	1	4	5	1	1	5	5	4	2	1	1	3	1	1
FBgn0024987	X	1370580	1375257	+	4678	374	139	640	193	266	445	466	355	237	491	591	701	1493	95	443	945	2200	1026	1309	853	720	553	968	936
FBgn0023169	X	1375536	1378896	+	3361	564	144	623	414	281	594	558	412	360	551	767	886	1591	168	606	933	2384	1060	1421	1086	953	651	1124	1099
FBgn0052813	X	1380914	1392843	+	11930	19	7	40	9	21	15	43	26	7	38	51	44	164	31	47	102	172	81	132	172	15	13	19	13
FBgn0024985	X	1393054	1397337	+	4284	154	50	214	55	98	170	180	100	109	170	226	247	843	93	210	517	1471	913	944	679	1297	980	1406	1512
FBgn0027794	X	1457175	1460617	-	3443	331	67	305	309	168	333	393	338	185	284	439	597	746	97	344	484	1016	425	555	469	249	215	351	336
FBgn0027795	X	1455215	1457054	-	1840	54	17	181	17	31	59	56	16	39	73	91	90	41	20	28	27	82	34	48	66	31	13	42	26
FBgn0024986	X	1378885	1380480	-	1596	146	43	135	92	64	118	181	103	87	134	139	206	611	70	219	240	683	317	449	272	190	169	332	274
FBgn0000826	X	1356488	1357601	-	1114	4	2	5	1	1	3	5	2	3	5	2	7	47	7	7	23	53	9	31	28	5	2	15	9
FBgn0024365	X	1349623	1353981	-	4359	579	214	863	353	407	803	850	664	466	652	1017	1155	2271	204	867	1319	3536	1811	2019	1665	2131	1351	3023	3068
FBgn0024360	X	1344872	1349357	-	4486	198	39	200	160	85	166	163	154	59	140	177	310	397	35	156	189	437	202	275	200	190	127	294	263
FBgn0024366	X	1329518	1341587	-	12070	8	1	8	5	2	3	5	3	6	16	13	8	16	1	10	10	18	8	18	20	12	1	13	10
FBgn0025641	X	1289713	1322362	-	32650	31	19	169	27	31	39	208	35	104	238	351	87	1238	154	364	972	2959	2163	1853	1319	3833	2596	4384	4392
FBgn0052811	X	1297984	1298387	-	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028550	X	1242740	1275284	-	32545	523	161	429	154	342	660	583	293	326	561	491	616	1062	138	417	890	1844	865	1179	850	393	257	515	459
FBgn0026876	X	1236873	1239884	-	3012	26	2	19	15	14	6	10	11	8	13	13	23	277	23	96	165	430	175	259	120	89	60	100	94
FBgn0040366	X	1211989	1215156	-	3168	18	7	35	9	11	16	28	12	10	25	18	43	85	5	17	42	103	39	59	43	38	18	57	40
FBgn0040363	X	1173877	1176035	-	2159	0	0	1	0	0	1	0	0	1	1	0	2	1	30	2	5	5	17	2	70	6	1	5	0
FBgn0040368	X	1158599	1162389	-	3791	25	4	145	0	16	18	36	16	21	61	58	81	3	0	5	1	1	1	0	24	4	0	28	4
FBgn0026872	X	1466134	1468692	+	2559	24	1	11	17	6	16	15	17	10	13	23	35	46	7	20	16	31	14	29	26	5	7	14	18
FBgn0029580	X	1467493	1470614	+	3122	6	0	7	6	3	6	3	0	2	2	3	9	14	3	1	6	14	9	6	8	4	4	13	11
FBgn0025383	X	1472522	1473727	+	1206	62	12	71	33	38	88	91	85	64	110	160	109	114	1	43	11	41	3	12	43	3	1	5	9
FBgn0025381	X	1478552	1481420	+	2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025394	X	1483479	1517615	+	34137	365	134	661	193	290	477	491	337	349	496	715	750	1518	128	465	898	2226	900	1270	899	902	825	1283	1368
FBgn0000482	X	1665052	1668451	+	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001189	X	1669570	1673608	+	4039	236	133	551	160	209	436	417	260	250	398	528	493	806	69	275	467	1147	491	606	497	337	300	430	498
FBgn0029587	X	1681566	1684891	+	3326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0024897	X	1686624	1690187	+	3564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025391	X	1735945	1754065	-	18121	1	1	3	1	1	2	0	0	2	0	2	1	52	5	14	31	88	18	79	25	7	1	3	6
FBgn0025378	X	1708806	1710182	-	1377	2	3	17	0	0	6	4	0	3	8	10	7	0	1	0	0	1	0	0	4	0	0	7	0
FBgn0023130	X	1693615	1695889	-	2275	43	16	85	42	28	38	59	51	40	54	78	87	211	17	69	137	240	121	160	102	71	57	82	81
FBgn0023530	X	1668406	1669297	-	892	71	28	115	42	54	94	119	75	63	69	110	123	246	32	65	95	203	78	93	98	53	74	93	92
FBgn0025390	X	1523554	1668788	-	145235	121	24	98	147	68	90	78	51	65	138	145	203	313	110	107	232	568	210	319	430	160	87	154	264
FBgn0025393	X	1512227	1512803	-	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0003517	X	1481797	1483413	-	1617	22663	6765	23804	14183	14048	26793	29056	23539	13481	19736	28210	33025	73651	7112	28119	29472	66887	26101	49361	28465	17896	15528	28300	24595
FBgn0044508	X	1482492	1482590	-	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025382	X	1473884	1476974	-	3091	4	1	11	4	3	1	10	6	2	6	6	8	13	7	2	22	42	21	14	14	4	6	6	2
FBgn0052808	X	1468693	1469817	-	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0027791	X	1464363	1465996	-	1634	140	47	164	66	95	194	220	190	97	137	246	229	601	78	216	306	778	279	382	285	118	108	208	173
FBgn0027793	X	1460807	1461676	-	870	40	40	164	23	59	167	112	35	45	131	168	61	146	41	72	14	39	19	17	98	3	4	16	8
FBgn0052806	X	1789566	1790418	+	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026873	X	1865909	1866887	+	979	68	15	125	46	37	92	98	69	52	70	112	151	379	37	136	165	384	151	249	147	155	120	201	200
FBgn0023513	X	1868870	1872408	+	3539	79	24	131	58	59	84	112	98	54	68	147	160	358	32	125	189	461	170	213	162	71	46	98	87
FBgn0014411	X	1873853	1876474	+	2622	330	125	596	201	242	425	483	378	338	514	683	682	1862	161	560	1114	2762	1376	1748	1158	1486	1315	2187	2234
FBgn0023514	X	1877317	1879077	+	1761	260	101	310	154	194	352	416	312	186	271	339	521	827	67	306	400	855	382	643	379	210	193	366	335
FBgn0029594	X	1880282	1881432	+	1151	107	47	175	80	76	133	153	94	73	121	180	209	407	53	151	147	358	131	300	193	118	93	166	149
FBgn0023519	X	1890256	1891482	+	1227	279	52	251	173	132	178	232	199	126	175	227	387	679	101	234	268	699	338	487	291	267	235	412	349
FBgn0023509	X	1908239	1920318	+	12080	329	101	336	142	222	364	328	274	217	282	431	401	1025	71	360	594	1412	524	741	590	346	295	508	516
FBgn0023510	X	1908920	1916825	+	7906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0023508	X	1922981	1927524	+	4544	204	56	316	106	132	246	197	154	155	243	317	292	896	74	268	468	1427	763	774	627	940	710	1273	1236
FBgn0023522	X	1927683	1930517	+	2835	262	83	364	156	225	353	419	272	196	328	439	553	863	65	320	499	1069	475	675	450	403	316	625	595
FBgn0023521	X	1940307	1941536	+	1230	60	21	121	26	55	87	134	76	59	62	98	141	196	21	71	90	182	66	112	87	54	56	94	71
FBgn0025627	X	2068592	2069688	+	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025630	X	2072413	2074890	+	2478	49	12	128	12	34	37	70	38	27	69	104	111	189	19	59	94	211	90	74	73	43	45	77	64
FBgn0025629	X	2074795	2075900	-	1106	97	40	119	57	88	155	187	110	59	115	114	180	502	58	168	247	499	215	329	189	153	125	227	205
FBgn0025628	X	2066435	2073483	-	7049	359	98	534	173	299	563	499	387	347	548	926	723	746	73	250	342	839	501	443	534	443	502	633	763
FBgn0029596	X	2065273	2066359	-	1087	0	0	9	0	1	1	2	3	2	6	2	1	3	3	0	0	5	4	0	1	3	0	3	0
FBgn0025626	X	2062313	2065142	-	2830	241	77	364	149	166	280	336	254	158	280	374	483	881	70	306	583	1257	548	791	541	431	296	566	523
FBgn0025625	X	2055310	2061915	-	6606	8	0	13	6	4	4	9	12	3	16	15	21	68	9	27	66	152	61	71	48	46	34	46	39
FBgn0025631	X	2044292	2050120	-	5829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026878	X	2042730	2043818	-	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000667	X	2023822	2042311	-	18490	228	81	359	155	187	306	345	237	234	317	388	418	1871	180	817	1365	4938	917	4660	2069	639	239	591	433
